RK,NAME,P,G
,Bruno Fernandes,35,10
,Rasmus Højlund,30,10
,Alejandro Garnacho,36,7
,Marcus Rashford,33,7
,Scott McTominay,32,7
,Kobbie Mainoo,24,3
,Diogo Dalot,36,2
,Harry Maguire,22,2
,Antony,29,1
,Casemiro,25,1
,Raphaël Varane,22,1
,Christian Eriksen,22,1
,Victor Lindelöf,19,1
,Mason Mount,14,1
,Anthony Martial,13,1
,Amad,9,1
,Hannibal Mejbri,5,1
,André Onana,38,0
,Jonny Evans,23,0
,Aaron Wan-Bissaka,22,0
,Sofyan Amrabat,21,0
,Luke Shaw,12,0
,Lisandro Martínez,11,0
,Facundo Pellistri,9,0
